Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create A New Booking,2000,225,196,247,286,643,144,6164,"0,000%","2,22284","2,08","1,03"
1741144262819,208,Create A New Booking,200,OK,Create Booking 1-164,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,208,0,164
1741144263119,194,Create A New Booking,200,OK,Create Booking 1-165,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,194,0,153
1741144263419,186,Create A New Booking,200,OK,Create Booking 1-166,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,186,0,143
1741144263719,181,Create A New Booking,200,OK,Create Booking 1-167,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,181,0,136
1741144264019,191,Create A New Booking,200,OK,Create Booking 1-168,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,191,0,147
1741144264320,187,Create A New Booking,200,OK,Create Booking 1-169,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,187,0,150
1741144264619,188,Create A New Booking,200,OK,Create Booking 1-170,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,188,0,131
1741144264919,246,Create A New Booking,200,OK,Create Booking 1-171,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,246,0,199
1741144265218,216,Create A New Booking,200,OK,Create Booking 1-172,text,true,,964,475,1,1,https://restful-booker.herokuapp.com/booking,216,0,156
1741144265519,214,Create A New Booking,200,OK,Create Booking 1-173,text,true,,964,475,1,1,https://restful-booker.herokuapp.com/booking,214,0,167
1741144265818,152,Create A New Booking,200,OK,Create Booking 1-174,text,true,,964,475,1,1,https://restful-booker.herokuapp.com/booking,152,0,102
1741144266119,271,Create A New Booking,200,OK,Create Booking 1-175,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,271,0,213
1741144266418,193,Create A New Booking,200,OK,Create Booking 1-176,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,193,0,143
1741144266719,212,Create A New Booking,200,OK,Create Booking 1-177,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,212,0,168
